"Issue ID","Parent ID","Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Priority"
"ST-034","S-012","Sub-task","Standardize structured logging","Adopt consistent log schema and severity levels.","","","1","Medium"
"ST-035","S-012","Sub-task","Add core metrics counters","Track ingestion success match volume send failures and retries.","","","1","Medium"
"ST-036","S-012","Sub-task","Set failure alerts","Configure alerts for repeated errors and stuck jobs.","","","1","High"
"S-013","","Story","Expand automated test coverage","Increase confidence with unit and integration tests across core flows.","","E-004","8","High"
"ST-037","S-013","Sub-task","Add adapter unit tests","Test parsing mapping validation and retry behavior.","","","3","Medium"
"ST-038","S-013","Sub-task","Add bot command tests","Test onboarding profile edits and pause resume.","","","2","Medium"
"ST-039","S-013","Sub-task","Add end-to-end integration tests","Validate ingest to match to notify flow.","","","3","High"
"S-014","","Story","Complete security and secrets hardening","Ensure env token handling and rotation process are production-safe.","","E-004","2","High"
"ST-040","S-014","Sub-task","Audit secret handling","Confirm no tokens are logged or committed.","","","1","High"
"ST-041","S-014","Sub-task","Create token rotation checklist","Define rotate verify and rollback sequence for secrets.","","","1","Medium"
"S-015","","Story","Create launch and rollback runbook","Document release process validation gates and recovery path.","","E-004","3","High"
"ST-042","S-015","Sub-task","Write release checklist","Preflight checks deploy steps and post-deploy checks.","","","1","Medium"
"ST-043","S-015","Sub-task","Write rollback checklist","Step-by-step rollback with data safety notes.","","","1","High"
"ST-044","S-015","Sub-task","Run staging smoke test and signoff","Execute smoke test and log go or no-go result.","","","1","High"
